Country,País,Year,Sector,%GDP,ISO3
European Union - 27 countries (from 2020),Unión Europea (27 países),2013,All Sectors,2.08,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2013,All Sectors,2.1,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2013,All Sectors,2.1,EMU
Belgium,Bélgica,2013,All Sectors,2.32,BEL
Bulgaria,Bulgaria,2013,All Sectors,0.63,BGR
Czechia,Chequia,2013,All Sectors,1.87,CZE
Denmark,Dinamarca,2013,All Sectors,2.96,DNK
Germany,Alemania,2013,All Sectors,2.78,DEU
Estonia,Estonia,2013,All Sectors,1.7,EST
Ireland,Irlanda,2013,All Sectors,1.54,IRL
Greece,Grecia,2013,All Sectors,0.82,GRC
Spain,España,2013,All Sectors,1.27,ESP
France,Francia,2013,All Sectors,2.23,FRA
Croatia,Croacia,2013,All Sectors,0.79,HRV
Italy,Italia,2013,All Sectors,1.29,ITA
Cyprus,Chipre,2013,All Sectors,0.48,CYP
Latvia,Letonia,2013,All Sectors,0.64,LVA
Lithuania,Lituania,2013,All Sectors,0.95,LTU
Luxembourg,Luxemburgo,2013,All Sectors,1.23,LUX
Hungary,Hungría,2013,All Sectors,1.38,HUN
Malta,Malta,2013,All Sectors,0.73,MLT
Netherlands,Países Bajos,2013,All Sectors,2.14,NLD
Austria,Austria,2013,All Sectors,2.98,AUT
Poland,Polonia,2013,All Sectors,0.88,POL
Portugal,Portugal,2013,All Sectors,1.32,PRT
Romania,Rumanía,2013,All Sectors,0.39,ROU
Slovenia,Eslovenia,2013,All Sectors,2.59,SVN
Slovakia,Eslovaquia,2013,All Sectors,0.82,SVK
Finland,Finlandia,2013,All Sectors,3.28,FIN
Sweden,Suecia,2013,All Sectors,3.28,SWE
Iceland,Islandia,2013,All Sectors,1.69,ISL
Norway,Noruega,2013,All Sectors,1.64,NOR
United Kingdom,Reino Unido,2013,All Sectors,1.62,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2013,All Sectors,0.32,BIH
Montenegro,Montenegro,2013,All Sectors,0.37,MNE
Serbia,Serbia,2013,All Sectors,0.66,SRB
Türkiye,Turquía,2013,All Sectors,0.81,TUR
Russia,Rusia,2013,All Sectors,1.03,RUS
United States,Estados Unidos,2013,All Sectors,2.7,USA
China except Hong Kong,China (excepto Hong Kong),2013,All Sectors,2.0,CHN
Japan,Japón,2013,All Sectors,3.28,JPN
South Korea,Corea del Sur,2013,All Sectors,3.77,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2014,All Sectors,2.09,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2014,All Sectors,2.12,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2014,All Sectors,2.12,EMU
Belgium,Bélgica,2014,All Sectors,2.36,BEL
Bulgaria,Bulgaria,2014,All Sectors,0.79,BGR
Czechia,Chequia,2014,All Sectors,1.94,CZE
Denmark,Dinamarca,2014,All Sectors,2.92,DNK
Germany,Alemania,2014,All Sectors,2.82,DEU
Estonia,Estonia,2014,All Sectors,1.41,EST
Ireland,Irlanda,2014,All Sectors,1.48,IRL
Greece,Grecia,2014,All Sectors,0.85,GRC
Spain,España,2014,All Sectors,1.23,ESP
France,Francia,2014,All Sectors,2.22,FRA
Croatia,Croacia,2014,All Sectors,0.77,HRV
Italy,Italia,2014,All Sectors,1.33,ITA
Cyprus,Chipre,2014,All Sectors,0.51,CYP
Latvia,Letonia,2014,All Sectors,0.71,LVA
Lithuania,Lituania,2014,All Sectors,1.03,LTU
Luxembourg,Luxemburgo,2014,All Sectors,1.22,LUX
Hungary,Hungría,2014,All Sectors,1.34,HUN
Malta,Malta,2014,All Sectors,0.68,MLT
Netherlands,Países Bajos,2014,All Sectors,2.15,NLD
Austria,Austria,2014,All Sectors,3.11,AUT
Poland,Polonia,2014,All Sectors,0.95,POL
Portugal,Portugal,2014,All Sectors,1.29,PRT
Romania,Rumanía,2014,All Sectors,0.38,ROU
Slovenia,Eslovenia,2014,All Sectors,2.39,SVN
Slovakia,Eslovaquia,2014,All Sectors,0.87,SVK
Finland,Finlandia,2014,All Sectors,3.16,FIN
Sweden,Suecia,2014,All Sectors,3.12,SWE
Iceland,Islandia,2014,All Sectors,1.94,ISL
Norway,Noruega,2014,All Sectors,1.7,NOR
United Kingdom,Reino Unido,2014,All Sectors,1.64,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2014,All Sectors,0.26,BIH
Montenegro,Montenegro,2014,All Sectors,0.36,MNE
Serbia,Serbia,2014,All Sectors,0.69,SRB
Türkiye,Turquía,2014,All Sectors,0.86,TUR
Russia,Rusia,2014,All Sectors,1.07,RUS
United States,Estados Unidos,2014,All Sectors,2.71,USA
China except Hong Kong,China (excepto Hong Kong),2014,All Sectors,2.02,CHN
Japan,Japón,2014,All Sectors,3.37,JPN
South Korea,Corea del Sur,2014,All Sectors,3.89,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2015,All Sectors,2.1,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2015,All Sectors,2.11,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2015,All Sectors,2.12,EMU
Belgium,Bélgica,2015,All Sectors,2.43,BEL
Bulgaria,Bulgaria,2015,All Sectors,0.95,BGR
Czechia,Chequia,2015,All Sectors,1.91,CZE
Denmark,Dinamarca,2015,All Sectors,3.06,DNK
Germany,Alemania,2015,All Sectors,2.88,DEU
Estonia,Estonia,2015,All Sectors,1.44,EST
Ireland,Irlanda,2015,All Sectors,1.14,IRL
Greece,Grecia,2015,All Sectors,0.97,GRC
Spain,España,2015,All Sectors,1.21,ESP
France,Francia,2015,All Sectors,2.22,FRA
Croatia,Croacia,2015,All Sectors,0.82,HRV
Italy,Italia,2015,All Sectors,1.33,ITA
Cyprus,Chipre,2015,All Sectors,0.48,CYP
Latvia,Letonia,2015,All Sectors,0.64,LVA
Lithuania,Lituania,2015,All Sectors,1.04,LTU
Luxembourg,Luxemburgo,2015,All Sectors,1.25,LUX
Hungary,Hungría,2015,All Sectors,1.34,HUN
Malta,Malta,2015,All Sectors,0.7,MLT
Netherlands,Países Bajos,2015,All Sectors,2.12,NLD
Austria,Austria,2015,All Sectors,3.07,AUT
Poland,Polonia,2015,All Sectors,1.0,POL
Portugal,Portugal,2015,All Sectors,1.25,PRT
Romania,Rumanía,2015,All Sectors,0.49,ROU
Slovenia,Eslovenia,2015,All Sectors,2.22,SVN
Slovakia,Eslovaquia,2015,All Sectors,1.15,SVK
Finland,Finlandia,2015,All Sectors,2.89,FIN
Sweden,Suecia,2015,All Sectors,3.24,SWE
Iceland,Islandia,2015,All Sectors,2.18,ISL
Norway,Noruega,2015,All Sectors,1.92,NOR
Switzerland,Suiza,2015,All Sectors,3.08,CHE
United Kingdom,Reino Unido,2015,All Sectors,1.65,GBR
Montenegro,Montenegro,2015,All Sectors,0.37,MNE
North Macedonia,Macedonia del Norte,2015,All Sectors,0.44,MKD
Serbia,Serbia,2015,All Sectors,0.78,SRB
Türkiye,Turquía,2015,All Sectors,0.97,TUR
Russia,Rusia,2015,All Sectors,1.1,RUS
United States,Estados Unidos,2015,All Sectors,2.77,USA
China except Hong Kong,China (excepto Hong Kong),2015,All Sectors,2.06,CHN
Japan,Japón,2015,All Sectors,3.24,JPN
South Korea,Corea del Sur,2015,All Sectors,3.79,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2016,All Sectors,2.1,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2016,All Sectors,2.12,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2016,All Sectors,2.13,EMU
Belgium,Bélgica,2016,All Sectors,2.53,BEL
Bulgaria,Bulgaria,2016,All Sectors,0.77,BGR
Czechia,Chequia,2016,All Sectors,1.65,CZE
Denmark,Dinamarca,2016,All Sectors,3.1,DNK
Germany,Alemania,2016,All Sectors,2.88,DEU
Estonia,Estonia,2016,All Sectors,1.22,EST
Ireland,Irlanda,2016,All Sectors,1.15,IRL
Greece,Grecia,2016,All Sectors,1.01,GRC
Spain,España,2016,All Sectors,1.18,ESP
France,Francia,2016,All Sectors,2.22,FRA
Croatia,Croacia,2016,All Sectors,0.85,HRV
Italy,Italia,2016,All Sectors,1.36,ITA
Cyprus,Chipre,2016,All Sectors,0.52,CYP
Latvia,Letonia,2016,All Sectors,0.45,LVA
Lithuania,Lituania,2016,All Sectors,0.84,LTU
Luxembourg,Luxemburgo,2016,All Sectors,1.27,LUX
Hungary,Hungría,2016,All Sectors,1.18,HUN
Malta,Malta,2016,All Sectors,0.54,MLT
Netherlands,Países Bajos,2016,All Sectors,2.12,NLD
Austria,Austria,2016,All Sectors,3.13,AUT
Poland,Polonia,2016,All Sectors,0.96,POL
Portugal,Portugal,2016,All Sectors,1.28,PRT
Romania,Rumanía,2016,All Sectors,0.49,ROU
Slovenia,Eslovenia,2016,All Sectors,2.03,SVN
Slovakia,Eslovaquia,2016,All Sectors,0.79,SVK
Finland,Finlandia,2016,All Sectors,2.75,FIN
Sweden,Suecia,2016,All Sectors,3.26,SWE
Iceland,Islandia,2016,All Sectors,2.11,ISL
Norway,Noruega,2016,All Sectors,2.03,NOR
United Kingdom,Reino Unido,2016,All Sectors,1.66,GBR
Montenegro,Montenegro,2016,All Sectors,0.32,MNE
North Macedonia,Macedonia del Norte,2016,All Sectors,0.44,MKD
Serbia,Serbia,2016,All Sectors,0.81,SRB
Türkiye,Turquía,2016,All Sectors,1.12,TUR
United States,Estados Unidos,2016,All Sectors,2.84,USA
China except Hong Kong,China (excepto Hong Kong),2016,All Sectors,2.1,CHN
Japan,Japón,2016,All Sectors,3.11,JPN
South Korea,Corea del Sur,2016,All Sectors,3.79,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2017,All Sectors,2.14,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2017,All Sectors,2.16,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2017,All Sectors,2.16,EMU
Belgium,Bélgica,2017,All Sectors,2.68,BEL
Bulgaria,Bulgaria,2017,All Sectors,0.74,BGR
Czechia,Chequia,2017,All Sectors,1.75,CZE
Denmark,Dinamarca,2017,All Sectors,2.94,DNK
Germany,Alemania,2017,All Sectors,2.99,DEU
Estonia,Estonia,2017,All Sectors,1.25,EST
Ireland,Irlanda,2017,All Sectors,1.21,IRL
Greece,Grecia,2017,All Sectors,1.15,GRC
Spain,España,2017,All Sectors,1.2,ESP
France,Francia,2017,All Sectors,2.2,FRA
Croatia,Croacia,2017,All Sectors,0.84,HRV
Italy,Italia,2017,All Sectors,1.36,ITA
Cyprus,Chipre,2017,All Sectors,0.54,CYP
Latvia,Letonia,2017,All Sectors,0.53,LVA
Lithuania,Lituania,2017,All Sectors,0.9,LTU
Luxembourg,Luxemburgo,2017,All Sectors,1.24,LUX
Hungary,Hungría,2017,All Sectors,1.31,HUN
Malta,Malta,2017,All Sectors,0.53,MLT
Netherlands,Países Bajos,2017,All Sectors,2.14,NLD
Austria,Austria,2017,All Sectors,3.07,AUT
Poland,Polonia,2017,All Sectors,1.03,POL
Portugal,Portugal,2017,All Sectors,1.32,PRT
Romania,Rumanía,2017,All Sectors,0.51,ROU
Slovenia,Eslovenia,2017,All Sectors,1.88,SVN
Slovakia,Eslovaquia,2017,All Sectors,0.88,SVK
Finland,Finlandia,2017,All Sectors,2.75,FIN
Sweden,Suecia,2017,All Sectors,3.39,SWE
Iceland,Islandia,2017,All Sectors,2.08,ISL
Norway,Noruega,2017,All Sectors,2.08,NOR
Switzerland,Suiza,2017,All Sectors,3.08,CHE
United Kingdom,Reino Unido,2017,All Sectors,1.68,GBR
Montenegro,Montenegro,2017,All Sectors,0.35,MNE
North Macedonia,Macedonia del Norte,2017,All Sectors,0.35,MKD
Serbia,Serbia,2017,All Sectors,0.84,SRB
Türkiye,Turquía,2017,All Sectors,1.18,TUR
Russia,Rusia,2017,All Sectors,1.11,RUS
United States,Estados Unidos,2017,All Sectors,2.88,USA
China except Hong Kong,China (excepto Hong Kong),2017,All Sectors,2.12,CHN
Japan,Japón,2017,All Sectors,3.17,JPN
South Korea,Corea del Sur,2017,All Sectors,4.07,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2018,All Sectors,2.17,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2018,All Sectors,2.19,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2018,All Sectors,2.2,EMU
Belgium,Bélgica,2018,All Sectors,2.86,BEL
Bulgaria,Bulgaria,2018,All Sectors,0.76,BGR
Czechia,Chequia,2018,All Sectors,1.88,CZE
Denmark,Dinamarca,2018,All Sectors,2.98,DNK
Germany,Alemania,2018,All Sectors,3.05,DEU
Estonia,Estonia,2018,All Sectors,1.38,EST
Ireland,Irlanda,2018,All Sectors,1.08,IRL
Greece,Grecia,2018,All Sectors,1.21,GRC
Spain,España,2018,All Sectors,1.23,ESP
France,Francia,2018,All Sectors,2.2,FRA
Croatia,Croacia,2018,All Sectors,0.95,HRV
Italy,Italia,2018,All Sectors,1.42,ITA
Cyprus,Chipre,2018,All Sectors,0.61,CYP
Latvia,Letonia,2018,All Sectors,0.66,LVA
Lithuania,Lituania,2018,All Sectors,0.93,LTU
Luxembourg,Luxemburgo,2018,All Sectors,1.17,LUX
Hungary,Hungría,2018,All Sectors,1.5,HUN
Malta,Malta,2018,All Sectors,0.55,MLT
Netherlands,Países Bajos,2018,All Sectors,2.1,NLD
Austria,Austria,2018,All Sectors,3.11,AUT
Poland,Polonia,2018,All Sectors,1.19,POL
Portugal,Portugal,2018,All Sectors,1.35,PRT
Romania,Rumanía,2018,All Sectors,0.5,ROU
Slovenia,Eslovenia,2018,All Sectors,1.96,SVN
Slovakia,Eslovaquia,2018,All Sectors,0.83,SVK
Finland,Finlandia,2018,All Sectors,2.78,FIN
Sweden,Suecia,2018,All Sectors,3.35,SWE
Iceland,Islandia,2018,All Sectors,2.0,ISL
Norway,Noruega,2018,All Sectors,2.03,NOR
United Kingdom,Reino Unido,2018,All Sectors,1.73,GBR
Montenegro,Montenegro,2018,All Sectors,0.5,MNE
North Macedonia,Macedonia del Norte,2018,All Sectors,0.36,MKD
Serbia,Serbia,2018,All Sectors,0.88,SRB
Türkiye,Turquía,2018,All Sectors,1.27,TUR
Russia,Rusia,2018,All Sectors,0.99,RUS
United States,Estados Unidos,2018,All Sectors,2.99,USA
China except Hong Kong,China (excepto Hong Kong),2018,All Sectors,2.14,CHN
Japan,Japón,2018,All Sectors,3.22,JPN
South Korea,Corea del Sur,2018,All Sectors,4.27,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2019,All Sectors,2.21,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2019,All Sectors,2.23,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2019,All Sectors,2.24,EMU
Belgium,Bélgica,2019,All Sectors,3.15,BEL
Bulgaria,Bulgaria,2019,All Sectors,0.84,BGR
Czechia,Chequia,2019,All Sectors,1.9,CZE
Denmark,Dinamarca,2019,All Sectors,2.95,DNK
Germany,Alemania,2019,All Sectors,3.11,DEU
Estonia,Estonia,2019,All Sectors,1.59,EST
Ireland,Irlanda,2019,All Sectors,1.14,IRL
Greece,Grecia,2019,All Sectors,1.26,GRC
Spain,España,2019,All Sectors,1.24,ESP
France,Francia,2019,All Sectors,2.2,FRA
Croatia,Croacia,2019,All Sectors,1.08,HRV
Italy,Italia,2019,All Sectors,1.46,ITA
Cyprus,Chipre,2019,All Sectors,0.7,CYP
Latvia,Letonia,2019,All Sectors,0.66,LVA
Lithuania,Lituania,2019,All Sectors,0.99,LTU
Luxembourg,Luxemburgo,2019,All Sectors,1.18,LUX
Hungary,Hungría,2019,All Sectors,1.46,HUN
Malta,Malta,2019,All Sectors,0.55,MLT
Netherlands,Países Bajos,2019,All Sectors,2.14,NLD
Austria,Austria,2019,All Sectors,3.14,AUT
Poland,Polonia,2019,All Sectors,1.31,POL
Portugal,Portugal,2019,All Sectors,1.39,PRT
Romania,Rumanía,2019,All Sectors,0.47,ROU
Slovenia,Eslovenia,2019,All Sectors,2.06,SVN
Slovakia,Eslovaquia,2019,All Sectors,0.82,SVK
Finland,Finlandia,2019,All Sectors,2.82,FIN
Sweden,Suecia,2019,All Sectors,3.4,SWE
Iceland,Islandia,2019,All Sectors,2.34,ISL
Norway,Noruega,2019,All Sectors,2.14,NOR
Switzerland,Suiza,2019,All Sectors,3.2,CHE
United Kingdom,Reino Unido,2019,All Sectors,1.76,GBR
Bosnia and Herzegovina,Bosnia y Herzegovina,2019,All Sectors,0.19,BIH
Montenegro,Montenegro,2019,All Sectors,0.36,MNE
North Macedonia,Macedonia del Norte,2019,All Sectors,0.37,MKD
Serbia,Serbia,2019,All Sectors,0.85,SRB
Türkiye,Turquía,2019,All Sectors,1.32,TUR
Russia,Rusia,2019,All Sectors,1.04,RUS
United States,Estados Unidos,2019,All Sectors,3.15,USA
China except Hong Kong,China (excepto Hong Kong),2019,All Sectors,2.24,CHN
Japan,Japón,2019,All Sectors,3.22,JPN
South Korea,Corea del Sur,2019,All Sectors,4.36,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2020,All Sectors,2.28,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2020,All Sectors,2.31,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2020,All Sectors,2.31,EMU
Belgium,Bélgica,2020,All Sectors,3.37,BEL
Bulgaria,Bulgaria,2020,All Sectors,0.85,BGR
Czechia,Chequia,2020,All Sectors,1.95,CZE
Denmark,Dinamarca,2020,All Sectors,2.97,DNK
Germany,Alemania,2020,All Sectors,3.09,DEU
Estonia,Estonia,2020,All Sectors,1.73,EST
Ireland,Irlanda,2020,All Sectors,1.12,IRL
Greece,Grecia,2020,All Sectors,1.49,GRC
Spain,España,2020,All Sectors,1.4,ESP
France,Francia,2020,All Sectors,2.27,FRA
Croatia,Croacia,2020,All Sectors,1.24,HRV
Italy,Italia,2020,All Sectors,1.5,ITA
Cyprus,Chipre,2020,All Sectors,0.83,CYP
Latvia,Letonia,2020,All Sectors,0.76,LVA
Lithuania,Lituania,2020,All Sectors,1.12,LTU
Luxembourg,Luxemburgo,2020,All Sectors,1.1,LUX
Hungary,Hungría,2020,All Sectors,1.58,HUN
Malta,Malta,2020,All Sectors,0.6,MLT
Netherlands,Países Bajos,2020,All Sectors,2.27,NLD
Austria,Austria,2020,All Sectors,3.21,AUT
Poland,Polonia,2020,All Sectors,1.37,POL
Portugal,Portugal,2020,All Sectors,1.61,PRT
Romania,Rumanía,2020,All Sectors,0.46,ROU
Slovenia,Eslovenia,2020,All Sectors,2.16,SVN
Slovakia,Eslovaquia,2020,All Sectors,0.89,SVK
Finland,Finlandia,2020,All Sectors,2.93,FIN
Sweden,Suecia,2020,All Sectors,3.5,SWE
Iceland,Islandia,2020,All Sectors,2.49,ISL
Norway,Noruega,2020,All Sectors,2.24,NOR
Bosnia and Herzegovina,Bosnia y Herzegovina,2020,All Sectors,0.2,BIH
North Macedonia,Macedonia del Norte,2020,All Sectors,0.37,MKD
Serbia,Serbia,2020,All Sectors,0.86,SRB
Türkiye,Turquía,2020,All Sectors,1.37,TUR
United States,Estados Unidos,2020,All Sectors,3.42,USA
China except Hong Kong,China (excepto Hong Kong),2020,All Sectors,2.41,CHN
Japan,Japón,2020,All Sectors,3.26,JPN
South Korea,Corea del Sur,2020,All Sectors,4.52,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2021,All Sectors,2.24,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2021,All Sectors,2.27,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2021,All Sectors,2.27,EMU
Belgium,Bélgica,2021,All Sectors,3.41,BEL
Bulgaria,Bulgaria,2021,All Sectors,0.77,BGR
Czechia,Chequia,2021,All Sectors,1.93,CZE
Denmark,Dinamarca,2021,All Sectors,2.74,DNK
Germany,Alemania,2021,All Sectors,3.08,DEU
Estonia,Estonia,2021,All Sectors,1.75,EST
Ireland,Irlanda,2021,All Sectors,1.07,IRL
Greece,Grecia,2021,All Sectors,1.43,GRC
Spain,España,2021,All Sectors,1.4,ESP
France,Francia,2021,All Sectors,2.21,FRA
Croatia,Croacia,2021,All Sectors,1.24,HRV
Italy,Italia,2021,All Sectors,1.41,ITA
Cyprus,Chipre,2021,All Sectors,0.78,CYP
Latvia,Letonia,2021,All Sectors,0.77,LVA
Lithuania,Lituania,2021,All Sectors,1.1,LTU
Luxembourg,Luxemburgo,2021,All Sectors,1.04,LUX
Hungary,Hungría,2021,All Sectors,1.63,HUN
Malta,Malta,2021,All Sectors,0.6,MLT
Netherlands,Países Bajos,2021,All Sectors,2.22,NLD
Austria,Austria,2021,All Sectors,3.26,AUT
Poland,Polonia,2021,All Sectors,1.42,POL
Portugal,Portugal,2021,All Sectors,1.67,PRT
Romania,Rumanía,2021,All Sectors,0.47,ROU
Slovenia,Eslovenia,2021,All Sectors,2.14,SVN
Slovakia,Eslovaquia,2021,All Sectors,0.9,SVK
Finland,Finlandia,2021,All Sectors,3.01,FIN
Sweden,Suecia,2021,All Sectors,3.42,SWE
Iceland,Islandia,2021,All Sectors,2.78,ISL
Norway,Noruega,2021,All Sectors,1.89,NOR
Switzerland,Suiza,2021,All Sectors,3.3,CHE
Bosnia and Herzegovina,Bosnia y Herzegovina,2021,All Sectors,0.19,BIH
Serbia,Serbia,2021,All Sectors,0.95,SRB
Türkiye,Turquía,2021,All Sectors,1.4,TUR
United States,Estados Unidos,2021,All Sectors,3.48,USA
China except Hong Kong,China (excepto Hong Kong),2021,All Sectors,2.43,CHN
Japan,Japón,2021,All Sectors,3.28,JPN
South Korea,Corea del Sur,2021,All Sectors,4.6,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2022,All Sectors,2.21,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2022,All Sectors,2.24,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2022,All Sectors,2.25,EMU
Belgium,Bélgica,2022,All Sectors,3.29,BEL
Bulgaria,Bulgaria,2022,All Sectors,0.75,BGR
Czechia,Chequia,2022,All Sectors,1.89,CZE
Denmark,Dinamarca,2022,All Sectors,2.87,DNK
Germany,Alemania,2022,All Sectors,3.07,DEU
Estonia,Estonia,2022,All Sectors,1.76,EST
Greece,Grecia,2022,All Sectors,1.48,GRC
Spain,España,2022,All Sectors,1.41,ESP
France,Francia,2022,All Sectors,2.22,FRA
Croatia,Croacia,2022,All Sectors,1.42,HRV
Italy,Italia,2022,All Sectors,1.37,ITA
Cyprus,Chipre,2022,All Sectors,0.7,CYP
Latvia,Letonia,2022,All Sectors,0.81,LVA
Lithuania,Lituania,2022,All Sectors,1.05,LTU
Luxembourg,Luxemburgo,2022,All Sectors,1.05,LUX
Hungary,Hungría,2022,All Sectors,1.39,HUN
Malta,Malta,2022,All Sectors,0.58,MLT
Netherlands,Países Bajos,2022,All Sectors,2.18,NLD
Austria,Austria,2022,All Sectors,3.18,AUT
Poland,Polonia,2022,All Sectors,1.44,POL
Portugal,Portugal,2022,All Sectors,1.69,PRT
Romania,Rumanía,2022,All Sectors,0.46,ROU
Slovenia,Eslovenia,2022,All Sectors,2.1,SVN
Slovakia,Eslovaquia,2022,All Sectors,0.98,SVK
Finland,Finlandia,2022,All Sectors,2.98,FIN
Sweden,Suecia,2022,All Sectors,3.47,SWE
Iceland,Islandia,2022,All Sectors,2.59,ISL
Norway,Noruega,2022,All Sectors,1.56,NOR
North Macedonia,Macedonia del Norte,2022,All Sectors,0.37,MKD
Serbia,Serbia,2022,All Sectors,0.92,SRB
Türkiye,Turquía,2022,All Sectors,1.32,TUR
United States,Estados Unidos,2022,All Sectors,3.59,USA
China except Hong Kong,China (excepto Hong Kong),2022,All Sectors,2.56,CHN
Japan,Japón,2022,All Sectors,3.41,JPN
South Korea,Corea del Sur,2022,All Sectors,4.85,KOR
European Union - 27 countries (from 2020),Unión Europea (27 países),2023,All Sectors,2.22,EUU
Euro area – 20 countries (from 2023),Zona Euro (20 países),2023,All Sectors,2.25,EMU
Euro area - 19 countries  (2015-2022),Zona Euro (19 países),2023,All Sectors,2.25,EMU
Belgium,Bélgica,2023,All Sectors,3.32,BEL
Bulgaria,Bulgaria,2023,All Sectors,0.79,BGR
Czechia,Chequia,2023,All Sectors,1.83,CZE
Denmark,Dinamarca,2023,All Sectors,2.99,DNK
Germany,Alemania,2023,All Sectors,3.11,DEU
Estonia,Estonia,2023,All Sectors,1.84,EST
Greece,Grecia,2023,All Sectors,1.49,GRC
Spain,España,2023,All Sectors,1.49,ESP
France,Francia,2023,All Sectors,2.19,FRA
Croatia,Croacia,2023,All Sectors,1.39,HRV
Italy,Italia,2023,All Sectors,1.31,ITA
Cyprus,Chipre,2023,All Sectors,0.68,CYP
Latvia,Letonia,2023,All Sectors,0.83,LVA
Lithuania,Lituania,2023,All Sectors,1.05,LTU
Luxembourg,Luxemburgo,2023,All Sectors,1.03,LUX
Hungary,Hungría,2023,All Sectors,1.39,HUN
Malta,Malta,2023,All Sectors,0.61,MLT
Netherlands,Países Bajos,2023,All Sectors,2.08,NLD
Austria,Austria,2023,All Sectors,3.29,AUT
Poland,Polonia,2023,All Sectors,1.56,POL
